PLN_AREA_N,"Below $1,000","$1,000 - $1,999","$2,000 - $2,999","$3,000 - $3,999","$4,000 - $4,999","$5,000 - $5,999","$6,000 - $6,999","$7,000 - $7,999","$8,000 & Over",HDB - 1-3 Room Flats,"HDB - 4, 5 and Executive ",Condo ,Landed ,"Legislators, Senior Officials & Managers",Professionals,0-19,20-39,40-59,60-64,65 & Over,Chinese,Indians,Malays,Eurasian & Others,Economically Active- Unemployed,Economically Active- Working,Economically Inactive,Other Diploma,University
GEYLANG,6.019610277,9.879607794,9.36825121,8.844483058,7.702618841,6.851185305,5.83840139,4.421000372,25.94265856,41.66066774,35.65595135,14.98820901,5.299739357,11.17956888,12.943395,21.01996851,29.27914492,31.4889386,5.952440136,12.25950783,75.15287099,8.809346259,12.75499213,3.282790621,2.860735311,59.95750322,37.18176147,5.076529515,18.66051851
HOUGANG,2.808059725,7.865457173,9.173958417,9.48061331,8.385646624,8.162478928,7.226459019,5.598458698,33.17813278,16.37472907,65.39134623,7.65513366,8.807899173,12.98171691,12.09559289,23.86512042,28.80935131,33.15966534,5.218807828,8.947055105,81.66887405,8.061025303,8.03795161,2.232149038,2.576379515,60.93501198,36.4886085,5.500885221,18.9969158
JURONG EAST,3.095998783,6.233835387,8.759318424,8.938080024,8.660429028,8.238247376,6.937471474,6.325117907,33.42081241,28.47634261,62.10634414,8.922866271,0,10.14328305,13.40052507,22.59697224,31.63371842,31.55541433,5.818334506,8.395560498,70.53609932,11.07265258,15.98311355,2.408134547,2.855312653,61.25770049,35.88698686,5.563554249,20.9553976
JURONG WEST,2.76244509,6.626282289,9.331096397,10.52341739,9.67816298,8.460228219,8.357773139,7.11166323,30.23321338,16.74244074,76.95913323,4.892230063,1.308863645,8.331344514,11.66605194,26.34492606,33.64782225,30.04141684,4.311388885,5.654445956,69.02483515,10.14264141,18.19014369,2.642379749,2.970551163,63.37710553,33.6523433,5.892647278,17.79700595
KALLANG,7.295484016,9.753622371,8.335682472,7.670406495,6.641483904,5.697130293,4.865535322,4.369397305,27.25094435,48.28888764,32.59288493,15.5804251,1.99582793,14.81947943,12.66042941,18.94956759,28.97076106,31.26688697,6.489619221,14.32316516,75.59336675,14.10219066,7.382557077,2.921885515,2.714557643,59.14094182,38.14331824,4.944329844,21.38272111
MARINE PARADE,3.387533875,5.245838173,5.845915602,5.871725384,4.697380307,4.46509227,4.368305588,2.897148019,43.67015099,29.28119757,23.28687573,30.31358885,15.76977675,29.1218638,18.5483871,21.99797117,27.01297603,30.74305761,6.236527326,14.00946786,75.37723488,12.34625301,7.240373642,5.036138467,2.356795603,56.02409639,41.61910801,6.207913066,35.19551458
NEWTON,1.287356322,1.563218391,2.712643678,3.310344828,3.264367816,3.540229885,4.689655172,2.344827586,57.05747126,0,0,91.54022989,8.091954023,51.7743743,21.2177811,21.90003204,26.64210189,34.41204742,6.472284524,10.57353412,69.7372637,12.0474207,1.057353412,17.15796219,1.273074475,56.80033949,41.92658604,7.764047564,65.02681278
NOVENA,3.675938712,7.483395805,6.635102256,6.878411258,5.359373973,5.155520484,4.386137963,4.182284474,41.82284474,25.73157099,24.23883738,35.13513514,13.80285395,23.87421162,17.12609712,21.48370497,28.48198971,31.36363636,5.619639794,13.05102916,80.71397942,8.981560892,4.335334477,5.969125214,2.282146792,59.47484392,38.24300929,6.191709845,34.73805412
OUTRAM,14.56415809,12.56090958,7.539252842,6.943692474,5.508933406,4.223064429,3.965890633,2.436383324,15.06497022,77.0438549,8.432593395,13.34596643,0,9.442009241,12.03648857,15.00579083,28.30454706,29.76987764,7.729492925,19.19029156,83.84107961,7.220907397,6.475653356,2.462359635,2.674009687,56.00822772,41.31776259,3.12916579,14.6635796
PASIR RIS,1.245250575,3.927115401,5.524586072,7.396622015,7.854230801,8.128796073,8.239731536,7.119283357,45.86904069,0.069334665,80.28954156,14.23856671,5.405330449,14.78534952,13.56397084,30.95926432,26.01689787,33.91601862,3.390033094,5.717786095,67.25607524,8.262925528,20.33945153,4.141547702,2.531763827,61.65078475,35.81745142,6.951965641,22.7484924
QUEENSTOWN,5.101120326,8.24094282,7.952859014,7.568747272,5.997381056,6.326203987,5.205878074,4.43765459,29.83849847,55.10839517,30.01309472,11.56409137,2.924487124,14.15120824,17.92601551,18.9965686,29.24204585,30.08162271,6.395809222,15.28395363,78.36084547,8.647540151,8.420133601,4.571480782,2.78655346,57.14655938,40.06688716,5.463093559,27.03741017
ROCHOR ,0.218340611,0.946142649,4.767103348,3.493449782,4.257641921,2.69286754,2.802037846,3.347889374,63.35516739,0,0,92.2852984,7.205240175,38.95348837,29.12032356,20.39970753,30.58737509,33.68267122,5.581281989,9.748964173,70.91152815,13.58761882,0.755544723,14.74530831,2.449922958,60.95531587,36.59476117,6.591368847,60.31692515
RIVER VALLEY,4.812630778,7.190412783,8.160547841,9.739395092,8.826326802,7.342590831,5.193075899,4.793608522,26.97355906,44.0935895,34.62050599,15.52216093,1.597869507,14.16124837,12.69180754,16.73263534,30.94356486,30.18386108,6.664964249,15.47497446,72.30592441,21.21424923,3.396322778,3.083503575,1.897356143,59.79782271,38.30482115,4.659407445,19.44796151
SEMBAWANG,1.537864454,4.070246932,7.50497259,8.708096832,9.683209625,10.05190899,9.144714501,7.398243827,37.87415709,0,93.6011255,2.808907,3.405617814,9.457678929,16.93633393,28.27641203,35.6184348,27.77456965,3.13754606,5.193037453,72.01644393,9.672496288,13.68998515,4.62107463,2.98162325,66.47863637,30.53798854,6.741682025,23.94606654
SENGKANG,1.167681587,4.882080901,7.299056229,8.42279281,8.380940423,9.251470065,8.424885429,8.016824659,40.3875531,0.654989851,94.06742419,4.407056312,0.870529642,11.03274388,15.20210797,28.07176123,35.18502999,27.90534797,3.520418547,5.317442264,78.9714703,8.290133729,10.22842913,2.509966837,2.503958603,66.70682092,30.78846285,6.49836957,24.38139558
SERANGOON,2.398154838,5.149224698,6.388595565,6.802645473,7.297282276,7.038848441,5.980103374,4.696270772,44.05602179,13.44411716,48.56333018,11.92130273,25.31817929,19.13289047,16.51423253,22.92157523,28.10581654,32.88054367,6.019297655,10.07276691,83.10092802,9.404401276,4.629674152,2.864996554,2.368742136,59.40633698,38.22492088,6.303616439,27.41808111
TAMPINES,2.462257613,6.313272003,8.047179682,8.563547173,8.472503431,8.346129282,7.643597723,6.809256567,36.1470832,18.13672868,70.86600264,9.100297591,1.65237597,11.00869127,12.60577943,25.80088102,29.73069003,32.97662211,4.624001406,6.867805443,66.35401902,8.180161456,22.00020631,3.465613216,2.642795457,60.84697601,36.51069283,5.774624737,19.14623995
TANGLIN,1.503221188,1.127415891,2.183249821,2.469577666,2.773801002,2.952755906,2.308518253,2.165354331,69.32712956,0.429491768,2.380100215,80.49391553,15.03221188,46.00623053,28,23.47192506,26.61770659,34.10050309,5.933036489,9.876828775,74.65448447,9.136644885,1.121841207,15.08702943,1.584691284,59.98654507,38.42128868,7.070624694,65.11988256
TOA PAYOH,6.733834377,9.107196873,8.95828001,7.96937897,7.101472881,5.819391768,5.244665751,4.783954208,27.68457547,50.2152314,38.46010657,3.741536171,4.085906415,11.68128773,13.64346076,19.77649956,27.71934891,31.22828973,6.404177998,14.87168379,81.78463414,7.711807979,7.718225795,2.785332082,2.946925132,58.65995638,38.39217427,5.450627325,20.21839807
WOODLANDS,2.605486314,7.712473821,9.844901068,10.102667,10.39265367,9.068674116,8.260226424,6.687268413,29.10265235,10.84227947,84.03315807,4.805284202,0.206505661,8.00414518,11.77757491,30.05927975,31.0980013,30.41993562,3.303428271,5.119355062,60.99082449,11.08160043,25.29772469,2.629850393,2.938158222,63.01673024,34.04511153,5.756597261,16.2008685
YISHUN,2.863222338,8.990966104,10.86307302,9.88129013,9.883156637,8.856577572,7.186053457,6.097879648,27.22674332,26.33455278,67.46677617,3.663954009,2.279005525,8.506400835,11.41499989,24.42525943,31.26815468,32.75454339,4.671893053,6.880149449,69.63782435,10.65254246,16.79354692,2.916086257,3.078770066,61.5977065,35.32352343,5.653827444,16.15884668
