PLN_AREA_N,"Below $1,000","$1,000 - $1,999","$2,000 - $2,999","$3,000 - $3,999","$4,000 - $4,999","$5,000 - $5,999","$6,000 - $6,999","$7,000 - $7,999","$8,000 & Over",HDB - 1-3 Room Flats,"HDB - 4, 5 and Executive ",Condo ,Landed ,"Legislators, Senior Officials & Managers",Professionals,0-19,20-39,40-59,60-64,65 & Over,Chinese,Indians,Malays,Eurasian & Others,Economically Active- Unemployed,Economically Active- Working,Economically Inactive,Other Diploma,University
ANG MO KIO,5.252491416,9.294028976,10.14152919,8.769784775,7.645925802,6.630935433,5.62264467,4.875638556,27.58562934,52.27702872,33.94020601,6.131814756,6.996063981,11.84583288,12.97792907,20.18048266,29.59781815,31.66645287,6.619184928,11.9360614,81.967908,8.339236016,7.179707413,2.513148575,2.988757883,59.45526003,37.55532923,5.098561269,19.77845961
BEDOK,4.145838814,7.516662282,8.195211786,8.070244672,7.230553363,6.38538104,5.967727791,4.770674384,35.50162238,30.72108217,39.10812944,16.60527931,12.8968254,16.39567405,14.57333053,22.34830351,29.15906953,31.62987787,6.117771689,10.7449774,71.26603037,8.606575467,16.01900047,4.108393686,2.651596423,59.77912809,37.56927549,5.841918215,24.59624814
BUKIT BATOK,2.167024802,4.246640201,5.062461303,6.25341443,5.885566522,5.805441235,6.1332265,5.907418873,48.13708708,10.25239465,63.48107951,13.00214881,11.51618895,18.3536023,19.18366471,23.63578611,28.07509474,32.98319788,5.631010537,9.674910732,84.67107713,7.911454796,4.430546124,2.986921948,2.436058271,59.68278758,37.88115415,6.765640327,32.26160671
BUKIT MERAH,2.574037568,6.455486824,7.8988512,8.435864319,8.014410985,7.395826252,6.852015499,5.61937779,38.93231822,24.91786192,53.06006843,19.13987266,2.637482156,13.81448247,16.44378075,24.8741314,31.01776724,33.0462281,4.498675432,6.563197825,72.3075216,10.58059058,14.2040805,2.90780732,2.773474713,62.13063828,35.09505861,5.886100856,26.57740382
BUKIT PANJANG,7.446024413,9.570891833,8.080608338,6.771891348,6.613694789,6.475272799,5.245654089,4.589497906,26.67050173,50.50065616,43.72157406,4.869937261,0.287630108,10.8060219,14.95404541,18.65683991,29.3854457,29.82077621,6.862183526,15.27475465,79.76158654,10.11443337,7.229414086,2.894566006,2.82567516,58.73496006,38.43861606,4.712536104,21.13501041
BISHAN,2.328077272,6.395332838,8.508764688,8.97382977,8.943559261,8.445471807,7.204380968,6.750323344,36.23104653,7.729987066,78.71157709,11.47802636,2.077657613,12.30209833,12.70358306,27.17852316,30.67954076,31.60625787,4.129445213,6.406233008,74.63374089,7.116224152,16.00043501,2.24959995,2.547722548,62.37478737,35.07749008,5.542492081,19.33429967
BUKIT TIMAH,1.665214445,1.645851486,2.555910543,2.754380869,3.683802885,2.914125278,3.025462291,2.260625424,66.85061477,1.999225482,9.10543131,49.19643722,39.11801723,37.79832294,27.16773659,24.87413602,25.90380294,32.41744176,5.941917684,10.8627016,85.84919077,4.973405012,1.023978155,8.15342606,1.613334999,58.10326058,40.28340442,6.897391163,55.93987098
CHOA CHU KANG,1.765737185,5.14067457,7.286274837,8.555267991,8.793204208,8.16288195,8.194189347,7.478293538,39.71030222,3.395808983,86.36667223,8.926782434,1.31073635,10.71701906,14.09136082,29.78342788,29.17289415,32.31847009,3.3787098,5.346498087,71.38397262,9.088181152,16.83872792,2.689118304,2.582367394,61.98743866,35.43090202,6.01251895,20.95538494
CLEMENTI,4.023772408,6.813458041,8.080020785,7.531176929,6.735515718,7.310340348,6.037282411,4.936347103,34.49922058,44.04065991,36.83424266,13.14302416,5.43322941,13.59041802,18.73356085,19.86089645,30.34046629,30.99679997,7.235997126,11.56584017,75.4217733,8.876287089,11.68121558,4.020724035,2.591585556,60.42610763,36.98099329,5.677576802,27.86821705
DOWNTOWN,2.799160252,7.837648705,7.697690693,6.857942617,5.948215535,7.207837649,7.697690693,6.648005598,33.379986,40.37788663,21.27361791,37.92862141,0,19.34010152,16.29441624,14.58893068,29.25846319,32.5631381,7.039226222,16.55024181,81.7839871,10.58570661,0.913487372,6.716818915,1.50466446,59.28377972,39.21155582,5.12242268,32.53865979
