,latitude,longitude,address
115,1.300117893,103.8561916,Bugis Junction
116,1.305506286,103.829985,Far East Shopping Centre
117,1.306248731,103.82903490000001,Forum Mall
118,1.30510759,103.83072790000001,Liat Tower
119,1.30510759,103.83072790000001,Liat Towers
120,1.30446379,103.83400520000001,Lucky Plaza
121,1.304182126,103.835941,Paragon
122,1.30483283,103.83323670000001,Tang Plaza
123,1.302650574,103.8373173,The Heeren
124,1.319295425,103.84419140000001,Velocity @ Novena Square
125,1.320612586,103.8443315,Square 2
126,1.3175117140000001,103.84362879999999,United Square
127,1.298918434,103.8503538,Bencoolen
128,1.292631727,103.8431314,UE Square
129,1.355369161,103.9888782,Changi Airport Terminal 2
130,1.356716112,103.98651459999999,Changi Airport Terminal 3
131,1.333601593,103.9654119,Plaza 8
132,1.331832698,103.7448792,Big Box
133,1.385111549,103.7450362,Lot One Shoppers' Mall
134,1.379916507,103.7643171,Bukit Panjang Plaza
135,1.2930178509999999,103.82694079999999,Valley Point Shopping Centre
136,1.377775842,103.9547736,Downtown East
137,1.3506755209999999,103.87186159999999,Nex
138,1.303843272,103.8727507,Kallang Wave Mall
139,1.341591087,103.69702009999999,Pioneer Mall
140,1.377897277,103.73901550000001,Sunshine Place
141,1.315521868,103.8990541,Joo Chiat Complex
142,1.36645364,103.9645985,Loyang Point
143,1.394184094,103.9129764,Punggol Plaza
144,1.318675756,103.89255059999999,Paya Lebar Square
145,1.294431718,103.8560109,South Beach Avenue
146,1.3970843240000002,103.74659799999999,Yew Tee Point
147,1.3040425340000001,103.83188829999999,ION Orchard
148,1.385417687,103.7662355,Greenridge Shopping Centre
149,1.391393061,103.87606770000001,Seletar Mall
150,1.3980473619999998,103.7470848,Yew Tee Square
151,1.392242406,103.74319100000001,Limbang Shopping Centre
152,1.384005825,103.77102959999999,Fajar Shopping Centre
153,1.380605125,103.7600416,Junction 10
154,1.291117292,103.8577583,Marina Square
155,1.301484998,103.83788829999999,Orchard Shopping Centre
156,1.326945045,103.84655440000002,Zhongshan Mall
157,1.354364938,103.9600422,Tampines Mart
158,1.4064261630000001,103.90223809999999,Waterway Point
159,1.365160713,103.86504190000001,myVillage
160,1.371730573,103.89420849999999,Kang Kar Mall
161,1.378570261,103.9419891,Elias Mall
162,1.308656852,103.8580644,Jalan Besar Plaza
163,1.325744091,103.85038259999999,Balestier Plaza
164,1.314692135,103.8944805,Kinex
165,1.378498681,103.76302290000001,Hillion Mall
166,1.2885666409999998,103.84267709999999,Central Mall
167,1.363550958,103.76423609999999,HillV2
168,1.276799928,103.8456183,Guoco Tower
169,1.295466756,103.85858499999999,Suntec City
170,1.295466756,103.85858499999999,Suntec City
171,1.384334266,103.88162309999998,Buangkok Square
172,1.27704169,103.85340190000001,Marina One
173,1.299216621,103.8579968,Duo Residences
174,1.299534349,103.8584017,Duo Galleria
175,1.379916507,103.7643171,Bukit Panjang Plaza
176,1.3057629240000002,103.8330834,Scotts Square
177,1.2912440059999999,103.8499848,Funan
178,1.316550292,103.7663311,Clementi 321
179,1.324221904,103.864549,R&F Mall
180,1.418161805,103.84129859999999,The Wisteria
181,1.336538681,103.8887627,18 Tai Seng
182,1.30453636,103.8307142,Wheelock Place
183,1.433031982,103.8416008,Junction Nine
184,1.30974242,103.8641016,Aperia
185,1.331721416,103.8794275,MacPherson Mall
186,1.3501724330000002,103.8484301,Junction 8
187,1.3246689740000002,103.9294055,Bedok Mall
188,1.292635687,103.8305555,Zenith
189,1.377439635,103.7443832,Keat Hong Shopping Centre
190,1.331778949,103.94623670000001,East Village
191,1.3048533709999999,103.90457420000001,Katong Square
192,1.30455858,103.9042117,The Flow
193,1.292702527,103.8109718,Dawson Place
194,1.2911568390000001,103.8510443,The Adelphi
195,1.333054519,103.74343370000001,JEM
196,1.3020667129999999,103.8378948,Design Orchard
197,1.428113577,103.83606309999999,Northpoint City
198,1.302983123,103.8362839,Knightsbridge
199,1.334844875,103.720462,Taman Jurong Shopping Centre
200,1.437130524,103.79528990000001,888 Plaza
201,1.292046053,103.8599002,Millenia Walk
